,timestamp,tweet_text,username,all_hashtags,followers_count,text
352,6/1/2019 9:47,@sixitsports Australia Win Today #WiNiT #SiXiT #Contest #Predict #Win  #AFGvsAUS #AfghanAtalan #Australia #cricket #Bristol #CWC2019 #WorldCupquiz,b'parmarkishan88',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'Bristol', 'CWC2019', 'WorldCupquiz']",71,australia win today  winit   sixit   contest   predict   win    afgvsaus   afghanatalan   australia   cricket   bristol   cwc2019   worldcupquiz 
353,6/1/2019 9:47,@sixitsports Australia #WiNiT  #SiXiT #Contest #Predict  #Win  @sixitsports #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz   Join @SumitRamSays  @Shiba_3333  @AAnsar0  @MKULDEEP666,b'RajuMlk1',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",52,australia  winit    sixit   contest   predict    win     afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz    join
354,6/1/2019 9:47,@sixitsports Australia win 🏏❤👍🏏 #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz tag @LaxmanMane18  @KamleshSatpute2  @savaleumesh8151  @Vaibhav52403887  @Vikrammane55  @iamAsk2019  @ShailajaMane2,b'kambleshankar17',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",121,australia win   winit    sixit   contest   predict    win    afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz  tag
355,6/1/2019 9:46,@sixitsports AUSTRALIA #WiNiT #SiXiT #Contest #Predict #Win  @sixitsports #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz Come &amp;predict guys... @Tamil1714 @arbazkhancs @Amitmax123,b'Ramanatha1995',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",55,australia  winit   sixit   contest   predict   win     afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz  come &amp;predict guys
356,6/1/2019 9:45,@sixitsports AUSTRALIA 🇦🇺  #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports  #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz  Join in guys @piyushpuri12 @itzzmesush @Gaurang321 @sumit_vidu @sanjanacutie @RajniPundhir,b'DeviSays09',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",1221,australia    winit    sixit   contest   predict    win     afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz   join in guys
357,6/1/2019 9:44,@sixitsports Australia  #WiNiT #SiXiT #Contest #Predict #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz,b'meaamir1',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",5936,australia   winit   sixit   contest   predict   afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz 
358,6/1/2019 9:44,@sixitsports Australia  #WiNiT #SiXiT #Contest #Predict #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz @shaiti7,b'ItikaNaik10',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",219,australia   winit   sixit   contest   predict   afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz 
359,6/1/2019 9:43,@sixitsports Australia will win   #WiNiT  #SiXiT #Contest #Predict  #Win @sixitsports #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz,b'nammo1997',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",53,australia will win    winit    sixit   contest   predict    win    afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz 
360,6/1/2019 9:43,@sixitsports Australia will win todays match #WiNiT #SiXiT #Contest #Predict #Win  #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz   Join @AkashDPradhan @AkshLede @ShahareShailesh,b'SmShahu',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",78,australia will win todays match  winit   sixit   contest   predict   win    afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz    join
361,6/1/2019 9:42,@sixitsports Australia  #WiNiT #SiXiT #Contest #Predict #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz,b'Contestfreeak',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",100,australia   winit   sixit   contest   predict   afgvsaus   afghanatalan   australia   cricket   cwc19   bristol   cwc2019   worldcupquiz 
