timestamp,tweet_text,username,all_hashtags,followers_count
6/1/2019 13:19,@StarSportsIndia  Kindly show the coverage of Afg vs Aus on either Star Sports 1 or Star Sports 2. Both the channels covering the same Match. #AFGvsAUS,b'asharora08',['AFGvsAUS'],11
6/1/2019 13:18,"Since the early disasters #Rahmat playing nicely for #Afghanistan, but there is still the sense we're not far from a collapse #WorldCup #AFGvsAUS",b'ellis_red',"['Rahmat', 'Afghanistan', 'WorldCup', 'AFGvsAUS']",222
6/1/2019 13:16,@gauravkapur but #AFGvsAUS match is not telecast live. what to do? #CWC19 #starsportsIndia,b'nikss26',"['AFGvsAUS', 'CWC19', 'starsportsIndia']",466
6/1/2019 13:16,@sixitsports Australia will win  #WiNiT #SiXiT #Contest #Predict  #Win #AFGvsAUS #AfghanAtalan #Australia #cricket #CWC19 #Bristol #CWC2019 #WorldCupquiz @sixitsports Guys join in @DipuJoshi20 @ShahSangam @rosie7me @MhjnPalvi @lavinapunjabi,b'TushNatuskar25',"['WiNiT', 'SiXiT', 'Contest', 'Predict', 'Win', 'AFGvsAUS', 'AfghanAtalan', 'Australia', 'cricket', 'CWC19', 'Bristol', 'CWC2019', 'WorldCupquiz']",627
6/1/2019 13:14,The poms cheering every run/misfield/boundary scored by the opponent against #australia important for the aussies notnto get carried away by all the banter from the poms #CWC2019 #AFGvsAUS,b'mumbaikamulga',"['australia', 'CWC2019', 'AFGvsAUS']",0
6/1/2019 13:08,Are we heading towards a FLOP World Cup? #CWC19 #AFGvsAUS #NZvsSL,b'Nikhil88601',"['CWC19', 'AFGvsAUS', 'NZvsSL']",10
6/1/2019 13:03,"@cricketworldcup @ICC why are u using #manjrekar as commentator he is insulting @ACBofficials with very chea words..he said""when i step in balcony i see next apartments kitchen,likewise the @ACBofficials step out and see worldcup...is it good #afgvsaus #AUSvAFG #WorldCup2019",b'Aarif13955129',"['manjrekar', 'afgvsaus', 'AUSvAFG', 'WorldCup2019']",84
6/1/2019 12:52,"Afg Don't play pre-mature , your are test nation with plenty of experience #AfgvsAus",b'ghorzangmal',['AfgvsAus'],45
6/1/2019 12:51,@StarSportsIndia Where exactly can I watch the #AFGvsAUS game? Can’t seem to find any HD coverage and it’s kinda ruining my weekend 🙂,b'mihirlee_58',['AFGvsAUS'],431
6/1/2019 12:49,@Fujifilm_India Australia Will Be The Winner. 🇦🇺  #ContestAlert #GetInstaxicated #fujifilm #instaxindia #instaxicated #instaxmini9 #CWC19 #AFGvsAUS  @Fujifilm_India  Join Here Guys @Rohanrm2013 @sonia06loach @KukrejaShubhs @__shek @asfiaj @pb_008 @Kumkum_bansal @TheManish29 @Chinnarayudu98,b'Mrfreaky79',"['ContestAlert', 'GetInstaxicated', 'fujifilm', 'instaxindia', 'instaxicated', 'instaxmini9', 'CWC19', 'AFGvsAUS']",548
6/1/2019 12:48,#AUSvAFG is on STAR SPORTS 3 .   #AFGvAUS #AFGvsAUS #AUSvsAFG,b'itsAKM005',"['AUSvAFG', 'AFGvAUS', 'AFGvsAUS', 'AUSvsAFG']",17
6/1/2019 12:46,3rd Asian Team have a plan to Upset their Fan's. #AfgvsAus @ICC  @ACBofficials  @cricbuzz,b'MAkmal117',['AfgvsAus'],5
6/1/2019 12:46,@StarSportsIndia what's the purpose of have 2 different channels telecasting the same match where you have another match is in progress. #Afgvsaus  #WorldCup2019,b'vjchan2014',"['Afgvsaus', 'WorldCup2019']",63
6/1/2019 12:45,Only fair if we win Afghanistan should be made to name a train after us then made to watch it for three days on telly. #strayan  #CWC19  #AFGvsAUS,b'cricketflog',"['strayan', 'CWC19', 'AFGvsAUS']",887
6/1/2019 12:43,Another low scoring match? #AFGvsAUS #CWC19,b'GeekyTahsin',"['AFGvsAUS', 'CWC19']",2
6/1/2019 12:43,"The proud cricket team of Afghanistan plays its 1st World Cup match today. Cricket means a lot to this nation, it has individuals who have come a long way and risen from challenging conditions. They tale on Australia for their 1st match.  Go strong Afghanistan #AfgVsAus",b'AwaaraHoon',['AfgVsAus'],96
6/1/2019 12:43,"What can make you more proud than watching your national anthem being played on a global stage? It's such a moment that no words can simply explain. #CWC19, #AfgVsAus https://t.co/4rbSEGmTzW",b'Ghaniamin2',"['CWC19', 'AfgVsAus']",79
6/1/2019 12:42,All set! #AFGvsAUS #NZvSL #wc2019 https://t.co/fJVC9Yvoj7,b'mandla_pr',"['AFGvsAUS', 'NZvSL', 'wc2019']",77
6/1/2019 12:42,"Dear Bsdk @StarSportsIndia , where is #AUSvAFG telecast. I want to fu*k u real hard.   #AFGvsAUS",b'itsAKM005',"['AUSvAFG', 'AFGvsAUS']",17
6/1/2019 12:41,This is already turning ugly #AFGvsAUS,b'davetravo',['AFGvsAUS'],982
6/1/2019 12:40,"World Cup 2019, 4th Match Afghanistan vs Australia 6 Paise Open Rate Skip from Our Side #AFGvAUS #AFGvsAUS #AUSvAFG #AFGvsAUS #Afghanistan #Australia #Jackpot #CRICKET #Prediction #MatchPrediction #Tipster #Tipper #IPL #CWC19 #CWC2019 #CWC #WorldCup #WorldCup2019 #WorldCup12",b'cricketmatchpre',"['AFGvAUS', 'AFGvsAUS', 'AUSvAFG', 'AFGvsAUS', 'Afghanistan', 'Australia', 'Jackpot', 'CRICKET', 'Prediction', 'MatchPrediction', 'Tipster', 'Tipper', 'IPL', 'CWC19', 'CWC2019', 'CWC', 'WorldCup', 'WorldCup2019', 'WorldCup12']",250
6/1/2019 12:39,@StarSportsIndia Pathetic Broadcasters..Why is #AfgvsAus is not on single HD  channel while #NZvsSL is on 3,b'TusharS46559182',"['AfgvsAus', 'NZvsSL']",0
6/1/2019 12:38,"Shahzad gone , entertainment gone #AfgvsAus",b'ghorzangmal',['AfgvsAus'],45
6/1/2019 12:38,@ACBofficials @CricketAus @ICC @cricketworldcup Can someone pls send me de link for livestream? #afgvsaus,b'siarov0001',['afgvsaus'],32
6/1/2019 12:37,First ball Starc has swung since Newlands. #AFGvsAUS,b'stanthevan78',['AFGvsAUS'],21
6/1/2019 12:36,"What an occassion this is for Afghanistan! An inspiring journey of passion and dedication. Irrespective of the result today, this is a special moment which they are going to cherish all their life. #AfgvsAus #CWC19",b'lakshits11',"['AfgvsAus', 'CWC19']",56
6/1/2019 12:36,"Afghanistan won toss elected to bat first. #AFGvsAUS #CWC19 Don't Pay, Watch #ICCWorldCup2019 on #PowerSportz https://t.co/F1Dw5jVyzm",b'powersportz_tv',"['AFGvsAUS', 'CWC19', 'ICCWorldCup2019', 'PowerSportz']",5572
6/1/2019 12:36,#AFGvsAUS LIVE : Mitchell Starc castles Mohammad Shahzad for a duck. Afghanistan: 0/1 in 0.3 overs  #CWC19 #ICCWorldCup   Follow live -  https://t.co/zaCNjtb7nL https://t.co/9YPH6XyFZL,b'htTweets',"['AFGvsAUS', 'CWC19', 'ICCWorldCup']",6786108
6/1/2019 12:35,"You beauty, Starc!  #AFGvsAUS #CWC19",b'AnnyaDasGupta33',"['AFGvsAUS', 'CWC19']",494
6/1/2019 12:33,Starc too quick. Ugly start for Afghanistan #CWC19 #AFGvsAUS,b'MattyA_Taylor',"['CWC19', 'AFGvsAUS']",1736
6/1/2019 12:32,Mohammed Shahzad Is God ❤️  #AFGvsAUS   #WorldCup2019,b'RealTrentBall',"['AFGvsAUS', 'WorldCup2019']",463
6/1/2019 12:31,@kokeeffe49 pulling out gold even before the first ball!!!! Love it!!!! #AFGvsAUS,b'Bushrangers_01',['AFGvsAUS'],187
6/1/2019 12:30,"#CWC19 gut feeling says time is ripe for an upset, Afghanistan to beat Australia today #AFGvsAUS",b'Im_SVee',"['CWC19', 'AFGvsAUS']",195
6/1/2019 12:29,Afghan to bat first. #AFGvsAUS #CricketWorldCup https://t.co/CsRyFCm8JG,b'CBandShepShow',"['AFGvsAUS', 'CricketWorldCup']",7
6/1/2019 12:29,"Thought - all national anthems should be changed to “Rally ‘round &lt;INSERT COUNTRY NAME&gt;”, sung to the tune of “Rally ‘round the West Indies” #WorldCup2019 #AFGvsAUS",b'mafftheflacid',"['WorldCup2019', 'AFGvsAUS']",73
6/1/2019 12:28,@cricketworldcup I can bet that Afghanistan will make more runs than 2 decades old Sri Lankan team. Golden days of @MahelaJay @KumarSanga2 and Sanath Jayasurya are gone.  #NZvSL  #AFGvsAUS,b'TradeTech5',"['NZvSL', 'AFGvsAUS']",11
6/1/2019 12:28,📜 Announcement📜 #Afghanistan wins toss and chooses to bat! How many runs will they make against @CricketAus? #AFGvAUS #AFGvsAUS #Afganistan #AfghanAtalan #CricketWorldCup2019 #Cricket #CricketWorldCup #cricketlive #CricketWC #cricketodacrown #CricketKaCrown #AUSvAFG #AUSvsAFG,b'gameoftransfers',"['Afghanistan', 'AFGvAUS', 'AFGvsAUS', 'Afganistan', 'AfghanAtalan', 'CricketWorldCup2019', 'Cricket', 'CricketWorldCup', 'cricketlive', 'CricketWC', 'cricketodacrown', 'CricketKaCrown', 'AUSvAFG', 'AUSvsAFG']",132
6/1/2019 12:26,@SmartCrowdAE Australia #WorldCup2019Quiz  #SmartCrowdContest #AFGvsAUS  Join @mehtamadonna  @shubham599gupta  @Challow212,b'SonamjitKaur',"['WorldCup2019Quiz', 'SmartCrowdContest', 'AFGvsAUS']",1353
6/1/2019 12:24,"Afghanistan won the toss, elected to bat, Asghar dropped #AfgvsAus",b'ghorzangmal',['AfgvsAus'],45
6/1/2019 12:24,Question 2: Who will WIN today's match between Afghanistan and Australia? #AFGvsAUS  Goo!! Comment your Predictions with  #SmartcrowdContest and get a chance to win AED 500  #WorldCup2019Quiz !  Don't forget to tag any 3 of your friends!   Contest T&amp;C: https://t.co/yqnjN4poEc https://t.co/1xCAuhNyUM,b'SmartCrowdAE',"['AFGvsAUS', 'SmartcrowdContest', 'WorldCup2019Quiz']",609
6/1/2019 12:24,Afghanistan captain Gulbadin Naib has won toss elected to BAT first vs AUS  #AFGvsAUS #CWC19 https://t.co/ORNRGKKcRC,b'Mishi827',"['AFGvsAUS', 'CWC19']",1881
6/1/2019 12:21,@StarSportsIndia @RishiLamichhane We subscribed star sports 2 hd !! Why not put in that? #AFGvsAUS 🤬,b'Rajdhoni22',['AFGvsAUS'],78
